brand,year,season,cover_photo,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8,photo_9
Gucci,2019,RTW Fall,gucci_f_2019_c.jpg,gucci_f_2019_1.jpg,gucci_f_2019_2.jpg,gucci_f_2019_3.jpg,gucci_f_2019_4.jpg,gucci_f_2019_5.jpg,gucci_f_2019_6.jpg,gucci_f_2019_7.jpg,gucci_f_2019_8.jpg,gucci_f_2019_9.jpg
Prada,2019,RTW Fall,prada_f_2019_c.jpg,prada_f_2019_1.jpg,prada_f_2019_2.jpg,prada_f_2019_3.jpg,prada_f_2019_4.jpg,prada_f_2019_5.jpg,prada_f_2019_6.jpg,prada_f_2019_7.jpg,prada_f_2019_8.jpg,prada_f_2019_9.jpg
Fendi,2019,RTW Fall,fendi_f_2019_c.jpg,fendi_f_2019_1.jpg,fendi_f_2019_2.jpg,fendi_f_2019_3.jpg,fendi_f_2019_4.jpg,fendi_f_2019_5.jpg,fendi_f_2019_6.jpg,fendi_f_2019_7.jpg,fendi_f_2019_8.jpg,fendi_f_2019_9.jpg
Versace,2019,RTW Fall,versace_f_2019_c.jpg,versace_f_2019_1.jpg,versace_f_2019_2.jpg,versace_f_2019_3.jpg,versace_f_2019_4.jpg,versace_f_2019_5.jpg,versace_f_2019_6.jpg,versace_f_2019_7.jpg,versace_f_2019_8.jpg,versace_f_2019_9.jpg
Saint Laurent,2019,RTW Fall,ysl_f_2019_c.jpg,ysl_f_2019_1.jpg,ysl_f_2019_2.jpg,ysl_f_2019_3.jpg,ysl_f_2019_4.jpg,ysl_f_2019_5.jpg,ysl_f_2019_6.jpg,ysl_f_2019_7.jpg,ysl_f_2019_8.jpg,ysl_f_2019_9.jpg
Givenchy,2019,RTW Fall,givenchy_f_2019_c.jpg,givenchy_f_2019_1.jpg,givenchy_f_2019_2.jpg,givenchy_f_2019_3.jpg,givenchy_f_2019_4.jpg,givenchy_f_2019_5.jpg,givenchy_f_2019_6.jpg,givenchy_f_2019_7.jpg,givenchy_f_2019_8.jpg,givenchy_f_2019_9.jpg
Balmain,2019,RTW Fall,balmain_f_2019_c.jpg,balmain_f_2019_1.jpg,balmain_f_2019_2.jpg,balmain_f_2019_3.jpg,balmain_f_2019_4.jpg,balmain_f_2019_5.jpg,balmain_f_2019_6.jpg,balmain_f_2019_7.jpg,balmain_f_2019_8.jpg,balmain_f_2019_9.jpg
Balenciaga,2019,RTW Fall,balenciaga_f_2019_c.jpg,balenciaga_f_2019_1.jpg,balenciaga_f_2019_2.jpg,balenciaga_f_2019_3.jpg,balenciaga_f_2019_4.jpg,balenciaga_f_2019_5.jpg,balenciaga_f_2019_6.jpg,balenciaga_f_2019_7.jpg,balenciaga_f_2019_8.jpg,balenciaga_f_2019_9.jpg
Louis Vuitton,2019,RTW Fall,lv_f_2019_c.jpg,lv_f_2019_1.jpg,lv_f_2019_2.jpg,lv_f_2019_3.jpg,lv_f_2019_4.jpg,lv_f_2019_5.jpg,lv_f_2019_6.jpg,lv_f_2019_7.jpg,lv_f_2019_8.jpg,lv_f_2019_9.jpg
Giorgio Armani,2019,RTW Fall,ga_f_2019_c.jpg,ga_f_2019_1.jpg,ga_f_2019_2.jpg,ga_f_2019_3.jpg,ga_f_2019_4.jpg,ga_f_2019_5.jpg,ga_f_2019_6.jpg,ga_f_2019_7.jpg,ga_f_2019_8.jpg,ga_f_2019_9.jpg
Tom Ford,2019,RTW Fall,tf_f_2019_c.jpg,tf_f_2019_1.jpg,tf_f_2019_2.jpg,tf_f_2019_3.jpg,tf_f_2019_4.jpg,tf_f_2019_5.jpg,tf_f_2019_6.jpg,tf_f_2019_7.jpg,tf_f_2019_8.jpg,tf_f_2019_9.jpg
Burberry,2019,RTW Fall,bur_f_2019_c.jpg,bur_f_2019_1.jpg,bur_f_2019_2.jpg,bur_f_2019_3.jpg,bur_f_2019_4.jpg,bur_f_2019_5.jpg,bur_f_2019_6.jpg,bur_f_2019_7.jpg,bur_f_2019_8.jpg,bur_f_2019_9.jpg
Comme Des Garcons,2019,RTW Fall,cdg_f_2019_c.jpg,cdg_f_2019_1.jpg,cdg_f_2019_2.jpg,cdg_f_2019_3.jpg,cdg_f_2019_4.jpg,cdg_f_2019_5.jpg,cdg_f_2019_6.jpg,cdg_f_2019_7.jpg,cdg_f_2019_8.jpg,cdg_f_2019_9.jpg
Dior,2019,RTW Fall,dior_f_2019_c.jpg,dior_f_2019_1.jpg,dior_f_2019_2.jpg,dior_f_2019_3.jpg,dior_f_2019_4.jpg,dior_f_2019_5.jpg,dior_f_2019_6.jpg,dior_f_2019_7.jpg,dior_f_2019_8.jpg,dior_f_2019_9.jpg
Ralph Lauren,2019,RTW Fall,rl_f_2019_c.jpg,rl_f_2019_1.jpg,rl_f_2019_2.jpg,rl_f_2019_3.jpg,rl_f_2019_4.jpg,rl_f_2019_5.jpg,rl_f_2019_6.jpg,rl_f_2019_7.jpg,rl_f_2019_8.jpg,rl_f_2019_9.jpg
Valentino,2019,RTW Fall,val_f_2019_c.jpg,val_f_2019_1.jpg,val_f_2019_2.jpg,val_f_2019_3.jpg,val_f_2019_4.jpg,val_f_2019_5.jpg,val_f_2019_6.jpg,val_f_2019_7.jpg,val_f_2019_8.jpg,val_f_2019_9.jpg
Tommy Hilfiger,2019,RTW Fall,th_f_2019_c.jpg,th_f_2019_1.jpg,th_f_2019_2.jpg,th_f_2019_3.jpg,th_f_2019_4.jpg,th_f_2019_5.jpg,th_f_2019_6.jpg,th_f_2019_7.jpg,th_f_2019_8.jpg,th_f_2019_9.jpg
Lacoste,2019,RTW Fall,lacoste_f_2019_c.jpg,lacoste_f_2019_1.jpg,lacoste_f_2019_2.jpg,lacoste_f_2019_3.jpg,lacoste_f_2019_4.jpg,lacoste_f_2019_5.jpg,lacoste_f_2019_6.jpg,lacoste_f_2019_7.jpg,lacoste_f_2019_8.jpg,lacoste_f_2019_9.jpg
Hermes,2019,RTW Fall,hermes_f_2019_c.jpg,hermes_f_2019_1.jpg,hermes_f_2019_2.jpg,hermes_f_2019_3.jpg,hermes_f_2019_4.jpg,hermes_f_2019_5.jpg,hermes_f_2019_6.jpg,hermes_f_2019_7.jpg,hermes_f_2019_8.jpg,hermes_f_2019_9.jpg
Michael Kors,2019,RTW Fall,mk_f_2019_c.jpg,mk_f_2019_1.jpg,mk_f_2019_2.jpg,mk_f_2019_3.jpg,mk_f_2019_4.jpg,mk_f_2019_5.jpg,mk_f_2019_6.jpg,mk_f_2019_7.jpg,mk_f_2019_8.jpg,mk_f_2019_9.jpg
Oscar de la Renta,2019,RTW Fall,odlr_f_2019_c.jpg,odlr_f_2019_1.jpg,odlr_f_2019_2.jpg,odlr_f_2019_3.jpg,odlr_f_2019_4.jpg,odlr_f_2019_5.jpg,odlr_f_2019_6.jpg,odlr_f_2019_7.jpg,odlr_f_2019_8.jpg,odlr_f_2019_9.jpg
Chanel,2019,RTW Fall,chanel_f_2019_c.jpg,chanel_f_2019_1.jpg,chanel_f_2019_2.jpg,chanel_f_2019_3.jpg,chanel_f_2019_4.jpg,chanel_f_2019_5.jpg,chanel_f_2019_6.jpg,chanel_f_2019_7.jpg,chanel_f_2019_8.jpg,chanel_f_2019_9.jpg
Dolce and Gabbana,2019,RTW Fall,dg_f_2019_c.jpg,dg_f_2019_1.jpg,dg_f_2019_2.jpg,dg_f_2019_3.jpg,dg_f_2019_4.jpg,dg_f_2019_5.jpg,dg_f_2019_6.jpg,dg_f_2019_7.jpg,dg_f_2019_8.jpg,dg_f_2019_9.jpg
Vera Wang,2019,RTW Fall,vw_f_2019_c.jpg,vw_f_2019_1.jpg,vw_f_2019_2.jpg,vw_f_2019_3.jpg,vw_f_2019_4.jpg,vw_f_2019_5.jpg,vw_f_2019_6.jpg,vw_f_2019_7.jpg,vw_f_2019_8.jpg,vw_f_2019_9.jpg
Salvatore Ferragamo,2019,RTW Fall,salf_f_2019_c.jpg,salf_f_2019_1.jpg,salf_f_2019_2.jpg,salf_f_2019_3.jpg,salf_f_2019_4.jpg,salf_f_2019_5.jpg,salf_f_2019_6.jpg,salf_f_2019_7.jpg,salf_f_2019_8.jpg,salf_f_2019_9.jpg
Stella McCartney,2019,RTW Fall,sm_f_2019_c.jpg,sm_f_2019_1.jpg,sm_f_2019_2.jpg,sm_f_2019_3.jpg,sm_f_2019_4.jpg,sm_f_2019_5.jpg,sm_f_2019_6.jpg,sm_f_2019_7.jpg,sm_f_2019_8.jpg,sm_f_2019_9.jpg
Alexander McQueen,2019,RTW Fall,am_f_2019_c.jpg,am_f_2019_1.jpg,am_f_2019_2.jpg,am_f_2019_3.jpg,am_f_2019_4.jpg,am_f_2019_5.jpg,am_f_2019_6.jpg,am_f_2019_7.jpg,am_f_2019_8.jpg,am_f_2019_9.jpg
Alexander Wang,2019,RTW Fall,aw_f_2019_c.jpg,aw_f_2019_1.jpg,aw_f_2019_2.jpg,aw_f_2019_3.jpg,aw_f_2019_4.jpg,aw_f_2019_5.jpg,aw_f_2019_6.jpg,aw_f_2019_7.jpg,aw_f_2019_8.jpg,aw_f_2019_9.jpg
Gucci,2019,RTW Spring,gucci_s_2019_c.jpg,gucci_s_2019_1.jpg,gucci_s_2019_2.jpg,gucci_s_2019_3.jpg,gucci_s_2019_4.jpg,gucci_s_2019_5.jpg,gucci_s_2019_6.jpg,gucci_s_2019_7.jpg,gucci_s_2019_8.jpg,gucci_s_2019_9.jpg
Prada,2019,RTW Spring,prada_s_2019_c.jpg,prada_s_2019_1.jpg,prada_s_2019_2.jpg,prada_s_2019_3.jpg,prada_s_2019_4.jpg,prada_s_2019_5.jpg,prada_s_2019_6.jpg,prada_s_2019_7.jpg,prada_s_2019_8.jpg,prada_s_2019_9.jpg
Fendi,2019,RTW Spring,fendi_s_2019_c.jpg,fendi_s_2019_1.jpg,fendi_s_2019_2.jpg,fendi_s_2019_3.jpg,fendi_s_2019_4.jpg,fendi_s_2019_5.jpg,fendi_s_2019_6.jpg,fendi_s_2019_7.jpg,fendi_s_2019_8.jpg,fendi_s_2019_9.jpg
Versace,2019,RTW Spring,versace_s_2019_c.jpg,versace_s_2019_1.jpg,versace_s_2019_2.jpg,versace_s_2019_3.jpg,versace_s_2019_4.jpg,versace_s_2019_5.jpg,versace_s_2019_6.jpg,versace_s_2019_7.jpg,versace_s_2019_8.jpg,versace_s_2019_9.jpg
Saint Laurent,2019,RTW Spring,ysl_s_2019_c.jpg,ysl_s_2019_1.jpg,ysl_s_2019_2.jpg,ysl_s_2019_3.jpg,ysl_s_2019_4.jpg,ysl_s_2019_5.jpg,ysl_s_2019_6.jpg,ysl_s_2019_7.jpg,ysl_s_2019_8.jpg,ysl_s_2019_9.jpg
Givenchy,2019,RTW Spring,givenchy_s_2019_c.jpg,givenchy_s_2019_1.jpg,givenchy_s_2019_2.jpg,givenchy_s_2019_3.jpg,givenchy_s_2019_4.jpg,givenchy_s_2019_5.jpg,givenchy_s_2019_6.jpg,givenchy_s_2019_7.jpg,givenchy_s_2019_8.jpg,givenchy_s_2019_9.jpg
Balmain,2019,RTW Spring,balmain_s_2019_c.jpg,balmain_s_2019_1.jpg,balmain_s_2019_2.jpg,balmain_s_2019_3.jpg,balmain_s_2019_4.jpg,balmain_s_2019_5.jpg,balmain_s_2019_6.jpg,balmain_s_2019_7.jpg,balmain_s_2019_8.jpg,balmain_s_2019_9.jpg
Balenciaga,2019,RTW Spring,balenciaga_s_2019_c.jpg,balenciaga_s_2019_1.jpg,balenciaga_s_2019_2.jpg,balenciaga_s_2019_3.jpg,balenciaga_s_2019_4.jpg,balenciaga_s_2019_5.jpg,balenciaga_s_2019_6.jpg,balenciaga_s_2019_7.jpg,balenciaga_s_2019_8.jpg,balenciaga_s_2019_9.jpg
Louis Vuitton,2019,RTW Spring,lv_s_2019_c.jpg,lv_s_2019_1.jpg,lv_s_2019_2.jpg,lv_s_2019_3.jpg,lv_s_2019_4.jpg,lv_s_2019_5.jpg,lv_s_2019_6.jpg,lv_s_2019_7.jpg,lv_s_2019_8.jpg,lv_s_2019_9.jpg
Giorgio Armani,2019,RTW Spring,ga_s_2019_c.jpg,ga_s_2019_1.jpg,ga_s_2019_2.jpg,ga_s_2019_3.jpg,ga_s_2019_4.jpg,ga_s_2019_5.jpg,ga_s_2019_6.jpg,ga_s_2019_7.jpg,ga_s_2019_8.jpg,ga_s_2019_9.jpg
Tom Ford,2019,RTW Spring,tf_s_2019_c.jpg,tf_s_2019_1.jpg,tf_s_2019_2.jpg,tf_s_2019_3.jpg,tf_s_2019_4.jpg,tf_s_2019_5.jpg,tf_s_2019_6.jpg,tf_s_2019_7.jpg,tf_s_2019_8.jpg,tf_s_2019_9.jpg
Burberry,2019,RTW Spring,bur_s_2020_c.jpg,bur_s_2020_1.jpg,bur_s_2020_2.jpg,bur_s_2020_3.jpg,bur_s_2020_4.jpg,bur_s_2020_5.jpg,bur_s_2020_6.jpg,bur_s_2020_7.jpg,bur_s_2020_8.jpg,bur_s_2020_9.jpg
Comme Des Garcons,2019,RTW Spring,cdg_s_2019_c.jpg,cdg_s_2019_1.jpg,cdg_s_2019_2.jpg,cdg_s_2019_3.jpg,cdg_s_2019_4.jpg,cdg_s_2019_5.jpg,cdg_s_2019_6.jpg,cdg_s_2019_7.jpg,cdg_s_2019_8.jpg,cdg_s_2019_9.jpg
Dior,2019,RTW Spring,dior_s_2019_c.jpg,dior_s_2019_1.jpg,dior_s_2019_2.jpg,dior_s_2019_3.jpg,dior_s_2019_4.jpg,dior_s_2019_5.jpg,dior_s_2019_6.jpg,dior_s_2019_7.jpg,dior_s_2019_8.jpg,dior_s_2019_9.jpg
Ralph Lauren,2019,RTW Spring,rl_s_2019_c.jpg,rl_s_2019_1.jpg,rl_s_2019_2.jpg,rl_s_2019_3.jpg,rl_s_2019_4.jpg,rl_s_2019_5.jpg,rl_s_2019_6.jpg,rl_s_2019_7.jpg,rl_s_2019_8.jpg,rl_s_2019_9.jpg
Valentino,2019,RTW Spring,val_s_2019_c.jpg,val_s_2019_1.jpg,val_s_2019_2.jpg,val_s_2019_3.jpg,val_s_2019_4.jpg,val_s_2019_5.jpg,val_s_2019_6.jpg,val_s_2019_7.jpg,val_s_2019_8.jpg,val_s_2019_9.jpg
Tommy Hilfiger,2019,RTW Spring,th_s_2019_c.jpg,th_s_2019_1.jpg,th_s_2019_2.jpg,th_s_2019_3.jpg,th_s_2019_4.jpg,th_s_2019_5.jpg,th_s_2019_6.jpg,th_s_2019_7.jpg,th_s_2019_8.jpg,th_s_2019_9.jpg
Lacoste,2019,RTW Spring,lacoste_s_2019_c.jpg,lacoste_s_2019_1.jpg,lacoste_s_2019_2.jpg,lacoste_s_2019_3.jpg,lacoste_s_2019_4.jpg,lacoste_s_2019_5.jpg,lacoste_s_2019_6.jpg,lacoste_s_2019_7.jpg,lacoste_s_2019_8.jpg,lacoste_s_2019_9.jpg
Hermes,2019,RTW Spring,hermes_s_2019_c.jpg,hermes_s_2019_1.jpg,hermes_s_2019_2.jpg,hermes_s_2019_3.jpg,hermes_s_2019_4.jpg,hermes_s_2019_5.jpg,hermes_s_2019_6.jpg,hermes_s_2019_7.jpg,hermes_s_2019_8.jpg,hermes_s_2019_9.jpg
Michael Kors,2019,RTW Spring,mk_s_2019_c.jpg,mk_s_2019_1.jpg,mk_s_2019_2.jpg,mk_s_2019_3.jpg,mk_s_2019_4.jpg,mk_s_2019_5.jpg,mk_s_2019_6.jpg,mk_s_2019_7.jpg,mk_s_2019_8.jpg,mk_s_2019_9.jpg
Oscar de la Renta,2019,RTW Spring,odlr_s_2019_c.jpg,odlr_s_2019_1.jpg,odlr_s_2019_2.jpg,odlr_s_2019_3.jpg,odlr_s_2019_4.jpg,odlr_s_2019_5.jpg,odlr_s_2019_6.jpg,odlr_s_2019_7.jpg,odlr_s_2019_8.jpg,odlr_s_2019_9.jpg
Chanel,2019,RTW Spring,chanel_s_2019_c.jpg,chanel_s_2019_1.jpg,chanel_s_2019_2.jpg,chanel_s_2019_3.jpg,chanel_s_2019_4.jpg,chanel_s_2019_5.jpg,chanel_s_2019_6.jpg,chanel_s_2019_7.jpg,chanel_s_2019_8.jpg,chanel_s_2019_9.jpg
Dolce and Gabbana,2019,RTW Spring,dg_s_2019_c.jpg,dg_s_2019_1.jpg,dg_s_2019_2.jpg,dg_s_2019_3.jpg,dg_s_2019_4.jpg,dg_s_2019_5.jpg,dg_s_2019_6.jpg,dg_s_2019_7.jpg,dg_s_2019_8.jpg,dg_s_2019_9.jpg
Vera Wang,2019,RTW Spring,vw_s_2019_c.jpg,vw_s_2019_1.jpg,vw_s_2019_2.jpg,vw_s_2019_3.jpg,vw_s_2019_4.jpg,vw_s_2019_5.jpg,vw_s_2019_6.jpg,vw_s_2019_7.jpg,vw_s_2019_8.jpg,vw_s_2019_9.jpg
Salvatore Ferragamo,2019,RTW Spring,salf_s_2019_c.jpg,salf_s_2019_1.jpg,salf_s_2019_2.jpg,salf_s_2019_3.jpg,salf_s_2019_4.jpg,salf_s_2019_5.jpg,salf_s_2019_6.jpg,salf_s_2019_7.jpg,salf_s_2019_8.jpg,salf_s_2019_9.jpg
Stella McCartney,2019,RTW Spring,sm_s_2019_c.jpg,sm_s_2019_1.jpg,sm_s_2019_2.jpg,sm_s_2019_3.jpg,sm_s_2019_4.jpg,sm_s_2019_5.jpg,sm_s_2019_6.jpg,sm_s_2019_7.jpg,sm_s_2019_8.jpg,sm_s_2019_9.jpg
Alexander McQueen,2019,RTW Spring,am_s_2019_c.jpg,am_s_2019_1.jpg,am_s_2019_2.jpg,am_s_2019_3.jpg,am_s_2019_4.jpg,am_s_2019_5.jpg,am_s_2019_6.jpg,am_s_2019_7.jpg,am_s_2019_8.jpg,am_s_2019_9.jpg
Alexander Wang,2019,RTW Spring,aw_s_2019_c.jpg,aw_s_2019_1.jpg,aw_s_2019_2.jpg,aw_s_2019_3.jpg,aw_s_2019_4.jpg,aw_s_2019_5.jpg,aw_s_2019_6.jpg,aw_s_2019_7.jpg,aw_s_2019_8.jpg,aw_s_2019_9.jpg